method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
fs,glc2,21%,BAY,3PG,24,M1,1.0696923304389131e-20,1.7434949614050787e-20
fs,glc2,21%,BAY,3PG,24,M2,0.42367598448340593,0.001775659115343303
fs,glc2,21%,BAY,3PG,24,M3,7.118559010332901e-20,6.804331106490968e-20
fs,glc2,21%,BAY,3PG,48,M0,0.5704867169016266,0.0063097272750253786
fs,glc2,21%,BAY,3PG,48,M1,1.1359191671985987e-4,1.1359191671985982e-4
fs,glc2,21%,BAY,3PG,48,M2,0.4363656997800087,0.0061234677357054615
fs,glc2,21%,BAY,3PG,48,M3,9.653270843681144e-20,1.89081895567529e-20
fs,glc2,21%,BAY,3PG,72,M0,0.5579446759725233,0.0063929530235363186
fs,glc2,21%,BAY,3PG,72,M1,1.7435454601290513e-4,1.743545460129051e-4
fs,glc2,21%,BAY,3PG,72,M2,0.4482527869812153,0.005837157711653218
fs,glc2,21%,BAY,3PG,72,M3,1.7124568794611123e-20,1.1841487992780099e-19
fs,glc2,0.5%,None,3PG,24,M0,0.6220098813707163,8.075094732171717e-4
fs,glc2,0.5%,None,3PG,24,M1,3.650331837953114e-19,2.33533752682432e-19
fs,glc2,0.5%,None,3PG,24,M2,0.4014880789294534,0.004602800859691249
fs,glc2,0.5%,None,3PG,24,M3,-2.0828870663630744e-20,3.0837329139207466e-19
fs,glc2,0.5%,None,3PG,48,M0,0.5879297181072279,0.004284588972746554
fs,glc2,0.5%,None,3PG,48,M1,-9.793591548953985e-20,4.9454205353729025e-20
fs,glc2,0.5%,None,3PG,48,M2,0.42868906650689426,0.0028987485339176133
fs,glc2,0.5%,None,3PG,48,M3,1.3597100261249464e-19,1.9150998795067522e-19
fs,glc2,0.5%,None,3PG,72,M0,0.5748405915200585,0.010770347503299308
fs,glc2,0.5%,None,3PG,72,M1,-2.6214881573772536e-19,2.7318089441905756e-19
fs,glc2,0.5%,None,3PG,72,M2,0.43883065563985846,0.007189803035235281
fs,glc2,0.5%,None,3PG,72,M3,3.97100229516197e-19,2.4527196060907004e-20
fs,glc6,21%,None,3PG,24,M0,0.05942210583204996,0.0034008500886491435
fs,glc6,21%,None,3PG,24,M1,-1.4022484175553207e-19,7.990405578822552e-21
fs,glc6,21%,None,3PG,24,M2,0.024261052869535796,1.6661554253804937e-4
fs,glc6,21%,None,3PG,24,M3,0.9098910010127873,0.008510759089853518
fs,glc6,21%,None,3PG,48,M0,0.035519859023855446,2.4738443221858017e-4
fs,glc6,21%,None,3PG,48,M1,-5.1943244926634774e-21,4.022684071259867e-20
fs,glc6,21%,None,3PG,48,M2,0.02879366984800357,1.6312349256227335e-5
fs,glc6,21%,None,3PG,48,M3,0.9377531587122341,5.565425441128036e-4
fs,glc6,21%,None,3PG,72,M0,0.027687784751711873,8.750880971026778e-4
fs,glc6,21%,None,3PG,72,M1,-1.2729539408849645e-20,1.477497303025885e-20
fs,glc6,21%,None,3PG,72,M2,0.029460157709521324,2.444284362733938e-5
fs,glc6,21%,None,3PG,72,M3,0.9438356819524824,7.201951133115614e-4
fs,glc6,21%,DMSO,3PG,24,M0,0.05374057162967194,7.999057288156121e-4
fs,glc6,21%,DMSO,3PG,24,M1,7.954976478376244e-20,1.4573491065584902e-21
fs,glc6,21%,DMSO,3PG,24,M2,0.026183995826110803,3.4317692713662924e-4
fs,glc6,21%,DMSO,3PG,24,M3,0.9219106886135673,3.8247740315250356e-4
fs,glc6,21%,DMSO,3PG,48,M0,0.04341630194155201,0.003015513117149072
fs,glc6,21%,DMSO,3PG,48,M1,-2.460699598094019e-21,4.309547627033311e-20
fs,glc6,21%,DMSO,3PG,48,M2,0.027762803486209846,5.470742617947298e-5
fs,glc6,21%,DMSO,3PG,48,M3,0.9300823231370144,0.0025765140347931447
fs,glc6,21%,DMSO,3PG,72,M0,0.026542239925637746,3.7004596482568744e-4
fs,glc6,21%,DMSO,3PG,72,M1,-1.955617182325328e-21,1.486100680943844e-20
fs,glc6,21%,DMSO,3PG,72,M2,0.03008784064085067,3.1345552330724294e-4
fs,glc6,21%,DMSO,3PG,72,M3,0.9446352921350032,3.8466937818781854e-5
fs,glc6,21%,BAY,3PG,24,M0,0.04963538996643164,3.8929218136994626e-5
fs,glc6,21%,BAY,3PG,24,M1,-7.536938556090196e-20,3.724575194938757e-21
fs,glc6,21%,BAY,3PG,24,M2,0.019953814991703758,1.2080950854139598e-4
fs,glc6,21%,BAY,3PG,24,M3,0.9321889267336129,7.446271773525748e-5
fs,glc6,21%,BAY,3PG,48,M0,0.05703607354122291,0.001969937688775354
fs,glc6,21%,BAY,3PG,48,M1,-5.633255918673171e-20,5.007038181490163e-20
fs,glc6,21%,BAY,3PG,48,M2,0.02525231882685288,5.179973013378227e-4
fs,glc6,21%,BAY,3PG,48,M3,0.9198318652133373,0.0010143131076755239
fs,glc6,21%,BAY,3PG,72,M0,0.04603898156344723,0.0013415945422091857
fs,glc6,21%,BAY,3PG,72,M1,8.702099094528235e-20,2.6742643413332722e-20
fs,glc6,21%,BAY,3PG,72,M2,0.026653339395692876,2.670413085756329e-4
fs,glc6,21%,BAY,3PG,72,M3,0.9282173672699937,0.0019572707304130015
fs,glc6,0.5%,None,3PG,24,M0,0.11236496862317281,9.097686554229155e-4
fs,glc6,0.5%,None,3PG,24,M1,5.659344844290377e-20,5.231509519082172e-20
fs,glc6,0.5%,None,3PG,24,M2,0.012694554581147797,0.0017583305629951798
